Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:16:36.059 AM 2026-08-04 	 4.021677 	 297.647000 	 44.546000 	 -110.490756 	 4.007682 	 297.647000 	 44.546000 	 -110.490756 	 108.702586 	 108.901221 	 298.692775
11:16:41.180 AM 2026-08-04 	 4.022912 	 297.647000 	 44.546000 	 -109.940459 	 4.015732 	 297.647000 	 44.546000 	 -109.940459 	 108.702170 	 108.901340 	 298.693345
11:16:46.312 AM 2026-08-04 	 4.020022 	 297.647000 	 44.546000 	 -109.898248 	 4.014704 	 297.647000 	 44.546000 	 -109.898248 	 108.702586 	 108.900983 	 298.694287
11:16:51.459 AM 2026-08-04 	 4.025935 	 297.647000 	 44.546000 	 -111.009382 	 4.020780 	 297.647000 	 44.546000 	 -111.009382 	 108.702527 	 108.901102 	 298.695253
11:16:56.590 AM 2026-08-04 	 4.025676 	 297.647000 	 44.546000 	 -109.819494 	 4.014757 	 297.647000 	 44.546000 	 -109.819494 	 108.702110 	 108.901221 	 298.695576
11:17:01.733 AM 2026-08-04 	 4.017582 	 297.647000 	 44.546000 	 -110.385984 	 4.008940 	 297.647000 	 44.546000 	 -110.385984 	 108.702825 	 108.901936 	 298.696517
11:17:06.861 AM 2026-08-04 	 4.022413 	 297.647000 	 44.546000 	 -110.607871 	 4.006321 	 297.647000 	 44.546000 	 -110.607871 	 108.702646 	 108.902174 	 298.697187
11:17:11.997 AM 2026-08-04 	 4.022445 	 297.647000 	 44.546000 	 -109.981386 	 4.010301 	 297.647000 	 44.546000 	 -109.981386 	 108.702706 	 108.902472 	 298.697583
11:17:17.123 AM 2026-08-04 	 4.017620 	 297.647000 	 44.546000 	 -109.742607 	 4.015536 	 297.647000 	 44.546000 	 -109.742607 	 108.702884 	 108.902829 	 298.698228
11:17:22.267 AM 2026-08-04 	 4.018630 	 297.647000 	 44.546000 	 -110.163392 	 4.012470 	 297.647000 	 44.546000 	 -110.163392 	 108.702706 	 108.902234 	 298.698674
11:17:27.421 AM 2026-08-04 	 4.025690 	 297.647000 	 44.546000 	 -109.411104 	 4.016030 	 297.647000 	 44.546000 	 -109.411104 	 108.702586 	 108.901459 	 298.698599
11:17:32.587 AM 2026-08-04 	 4.020883 	 297.647000 	 44.546000 	 -109.850769 	 4.007875 	 297.647000 	 44.546000 	 -109.850769 	 108.702229 	 108.900864 	 298.698624
11:17:37.751 AM 2026-08-04 	 4.029137 	 297.647000 	 44.546000 	 -109.608776 	 3.997810 	 297.647000 	 44.546000 	 -109.608776 	 108.702825 	 108.900983 	 298.698872
11:17:42.899 AM 2026-08-04 	 4.025854 	 297.647000 	 44.546000 	 -109.867196 	 4.014561 	 297.647000 	 44.546000 	 -109.867196 	 108.702944 	 108.900447 	 298.699194
11:17:48.018 AM 2026-08-04 	 4.020816 	 297.647000 	 44.546000 	 -110.088083 	 4.015884 	 297.647000 	 44.546000 	 -110.088083 	 108.702646 	 108.900566 	 298.699417
11:17:53.114 AM 2026-08-04 	 4.032879 	 297.647000 	 44.546000 	 -109.995237 	 4.016333 	 297.647000 	 44.546000 	 -109.995237 	 108.702944 	 108.901102 	 298.699616
11:17:58.227 AM 2026-08-04 	 4.026575 	 297.647000 	 44.546000 	 -109.468279 	 4.012862 	 297.647000 	 44.546000 	 -109.468279 	 108.702884 	 108.900745 	 298.699665
11:18:03.381 AM 2026-08-04 	 4.028758 	 297.647000 	 44.546000 	 -109.987341 	 4.003688 	 297.647000 	 44.546000 	 -109.987341 	 108.702706 	 108.900208 	 298.700260
11:18:08.499 AM 2026-08-04 	 4.034802 	 297.647000 	 44.546000 	 -110.244654 	 4.013177 	 297.647000 	 44.546000 	 -110.244654 	 108.702944 	 108.899911 	 298.700607
11:18:13.644 AM 2026-08-04 	 4.026201 	 297.647000 	 44.546000 	 -110.305402 	 4.012637 	 297.647000 	 44.546000 	 -110.305402 	 108.703123 	 108.900447 	 298.700657
11:18:18.747 AM 2026-08-04 	 4.023668 	 297.647000 	 44.546000 	 -109.244819 	 4.008949 	 297.647000 	 44.546000 	 -109.244819 	 108.702825 	 108.900566 	 298.700905
11:18:23.916 AM 2026-08-04 	 4.022655 	 297.647000 	 44.546000 	 -110.048960 	 4.005778 	 297.647000 	 44.546000 	 -110.048960 	 108.703123 	 108.900804 	 298.701227
11:18:29.058 AM 2026-08-04 	 4.030357 	 297.647000 	 44.546000 	 -110.330477 	 4.005218 	 297.647000 	 44.546000 	 -110.330477 	 108.703003 	 108.901936 	 298.701971
11:18:34.188 AM 2026-08-04 	 4.027415 	 297.647000 	 44.546000 	 -110.165890 	 4.009130 	 297.647000 	 44.546000 	 -110.165890 	 108.703182 	 108.901340 	 298.701896
