Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
6:00:48.579 AM 2026-08-31 	 90.854107 	 88.532439 	 303.024811 	 294.991490 	 -66290.843215 	 -66290.843215 	 295.010225 	 295.112028
6:00:53.765 AM 2026-08-31 	 91.088853 	 88.370475 	 303.022661 	 294.992409 	 -66291.066796 	 -66291.066796 	 294.998415 	 295.102105
6:00:58.885 AM 2026-08-31 	 90.404743 	 88.148563 	 303.021739 	 294.993175 	 -66291.078881 	 -66291.078881 	 294.986680 	 295.098385
6:01:03.992 AM 2026-08-31 	 90.267619 	 89.005736 	 303.020203 	 294.992256 	 -66291.024496 	 -66291.024496 	 295.031237 	 295.124552
6:01:09.129 AM 2026-08-31 	 90.875745 	 88.588358 	 303.023736 	 294.992562 	 -66291.151395 	 -66291.151395 	 294.999705 	 295.095383
6:01:14.279 AM 2026-08-31 	 89.608669 	 88.512036 	 303.025425 	 294.990877 	 -66291.223910 	 -66291.223910 	 295.024984 	 295.107933
6:01:19.430 AM 2026-08-31 	 89.766173 	 89.037977 	 303.026807 	 294.993022 	 -66291.260167 	 -66291.260167 	 295.010992 	 295.107139
6:01:24.545 AM 2026-08-31 	 91.458962 	 89.411778 	 303.028343 	 294.993022 	 -66291.217867 	 -66291.217867 	 295.026844 	 295.096598
6:01:29.661 AM 2026-08-31 	 90.591181 	 90.226886 	 303.027882 	 294.992256 	 -66291.350811 	 -66291.350811 	 295.031160 	 295.097614
6:01:34.826 AM 2026-08-31 	 91.556332 	 88.868709 	 303.030340 	 294.991949 	 -66291.381026 	 -66291.381026 	 295.013844 	 295.113761
